STATION,NAME,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00043256,"FRESNO 5 NE, CA US",2012-01,0,0,4,3,,,0,4,0,3,0,26,,,0.85,71,1282,423,1.30,,49.4,63.1,35.5
USC00043256,"FRESNO 5 NE, CA US",2012-02,0,0,5,3,,,0,0,0,10,0,36,,,0.17,77,1608,326,0.45,,53.4,66.8,39.9
USC00043256,"FRESNO 5 NE, CA US",2012-03,2,2,6,3,,,0,0,0,16,0,36,,,1.20,82,1873,266,2.01,,55.9,69.0,42.8
USC00043256,"FRESNO 5 NE, CA US",2012-04,70,68,7,5,,,0,1,0,22,3,31,,,0.58,98,2001,128,1.83,,62.9,77.6,48.1
USC00043256,"FRESNO 5 NE, CA US",2012-05,304,234,0,0,,,0,0,0,31,17,49,,,0.00,99,2008,7,0.00,,72.3,88.8,55.9
USC00043256,"FRESNO 5 NE, CA US",2012-06,629,325,0,0,,,0,0,0,25,18,51,,,0.00,107,2009,1,0.00,,78.0,94.6,61.3
USC00043256,"FRESNO 5 NE, CA US",2012-07,1117,488,0,0,,,0,0,0,28,26,59,,,0.00,109,0,0,0.00,,82.4,99.1,65.7
USC00043256,"FRESNO 5 NE, CA US",2012-08,1709,592,1,0,,,0,0,0,27,27,59,,,0.05,111,0,0,0.05,,86.9,104.6,69.3
USC00043256,"FRESNO 5 NE, CA US",2012-09,,,0,0,,,0,0,,,,57,,,0.00,,,,0.00,,,,62.8
USC00043256,"FRESNO 5 NE, CA US",2012-11,,10,7,4,,,0,0,0,15,0,33,,,0.27,87,,232,0.78,,57.4,69.4,45.3
USC00043256,"FRESNO 5 NE, CA US",2012-12,,0,13,7,,,0,6,0,0,0,30,,,0.58,68,,473,2.39,,49.7,58.8,40.7
USC00043256,"FRESNO 5 NE, CA US",2013-01,0,0,4,1,,,0,12,0,3,0,27,,,0.35,70,,502,0.45,,47.1,60.2,34.0
USC00043256,"FRESNO 5 NE, CA US",2013-02,0,0,3,3,,,0,0,0,9,0,35,,,0.49,75,,366,1.04,,51.0,64.7,37.3
USC00043256,"FRESNO 5 NE, CA US",2013-03,12,12,5,2,,,0,0,0,24,0,40,,,0.28,85,,124,0.63,,61.1,76.1,46.2
USC00043256,"FRESNO 5 NE, CA US",2013-04,112,99,3,0,,,0,1,0,29,6,32,,,0.07,96,,46,0.09,,66.8,82.2,51.4
USC00043256,"FRESNO 5 NE, CA US",2013-05,331,220,1,0,,,0,0,0,28,13,47,,,0.02,102,,11,0.02,,72.2,86.8,57.5
USC00043256,"FRESNO 5 NE, CA US",2013-06,794,463,0,0,,,0,0,0,28,27,55,,,0.00,109,,0,0.00,,81.5,98.1,64.9
USC00043256,"FRESNO 5 NE, CA US",2013-07,1394,600,0,0,,,0,0,0,27,27,61,,,0.00,111,0,0,0.00,,87.2,103.9,70.6
USC00043256,"FRESNO 5 NE, CA US",2013-08,1883,489,0,0,,,0,0,0,27,27,60,,,0.00,109,0,0,0.00,,83.1,100.5,65.7
USC00043256,"FRESNO 5 NE, CA US",2013-09,,,1,0,,,0,0,,,,49,,,0.01,,,,0.01,,,,61.2
USC00043256,"FRESNO 5 NE, CA US",2013-10,,90,2,0,,,0,0,0,28,2,44,,,0.02,91,,37,0.03,,66.8,82.2,51.3
USC00043256,"FRESNO 5 NE, CA US",2013-12,,0,2,1,,,0,11,0,6,0,26,,,0.17,76,,479,0.18,,47.9,63.7,32.1
USC00043256,"FRESNO 5 NE, CA US",2014-01,0,0,2,1,,,0,0,0,13,0,33,,,0.52,79,,301,0.55,,53.9,69.9,37.8
USC00043256,"FRESNO 5 NE, CA US",2014-02,0,0,6,4,,,0,0,0,10,0,35,,,0.72,80,,275,2.02,,54.8,66.3,43.4
USC00043256,"FRESNO 5 NE, CA US",2014-03,11,11,6,2,,,0,0,0,24,0,44,,,0.22,86,,122,0.54,,61.3,74.8,47.8
USC00043256,"FRESNO 5 NE, CA US",2014-04,120,109,4,2,,,0,0,0,21,5,41,,,0.40,91,,82,0.69,,65.9,80.0,51.9
USC00043256,"FRESNO 5 NE, CA US",2014-06,,445,0,0,,,0,0,0,30,28,57,,,0.00,109,,0,0.00,,79.8,96.8,62.9
USC00043256,"FRESNO 5 NE, CA US",2014-07,,631,1,0,,,0,0,0,30,30,65,,,0.01,109,0,0,0.01,,86.0,102.3,69.8
USC00043256,"FRESNO 5 NE, CA US",2014-08,,564,0,0,,,0,0,0,29,28,63,,,0.00,108,0,0,0.00,,84.4,99.8,69.1
USC00043256,"FRESNO 5 NE, CA US",2014-09,,452,1,0,,,0,0,0,27,25,53,,,0.01,106,0,0,0.01,,81.7,98.3,65.2
USC00043256,"FRESNO 5 NE, CA US",2014-10,,204,0,0,,,0,0,0,26,11,48,,,0.00,99,5,5,0.00,,72.4,87.5,57.2
USC00043256,"FRESNO 5 NE, CA US",2014-11,,3,2,1,,,0,0,0,16,0,39,,,0.75,83,149,144,0.80,,59.6,73.0,46.1
USC00043256,"FRESNO 5 NE, CA US",2014-12,,0,9,6,,,0,1,0,7,0,30,,,1.13,76,511,362,2.63,,53.3,63.2,43.4
USC00043256,"FRESNO 5 NE, CA US",2015-01,0,0,3,1,,,0,5,0,1,0,28,,,0.15,70,1005,494,0.21,,49.1,59.6,38.6
USC00043256,"FRESNO 5 NE, CA US",2015-02,0,0,4,3,,,0,0,0,15,0,38,,,0.50,79,1209,204,1.05,,57.4,69.4,45.4
USC00043256,"FRESNO 5 NE, CA US",2015-03,69,69,1,0,,,0,0,0,24,4,40,,,0.02,95,1272,63,0.02,,65.3,81.0,49.6
USC00043256,"FRESNO 5 NE, CA US",2015-04,141,72,2,2,,,0,0,0,25,4,40,,,0.42,95,1341,69,0.67,,65.1,79.8,50.4
USC00043256,"FRESNO 5 NE, CA US",2015-05,291,150,3,2,,,0,0,0,29,10,50,,,0.25,100,1354,13,0.46,,69.5,83.6,55.5
USC00043256,"FRESNO 5 NE, CA US",2015-06,800,508,0,0,,,0,0,0,28,27,57,,,0.00,107,1354,0,0.00,,83.2,100.5,65.9
USC00043256,"FRESNO 5 NE, CA US",2015-07,1358,558,2,1,,,0,0,0,29,28,63,,,0.18,109,0,0,0.20,,84.2,100.0,68.5
USC00043256,"FRESNO 5 NE, CA US",2015-08,1908,550,0,0,,,0,0,0,29,28,62,,,0.00,110,0,0,0.00,,84.0,100.5,67.5
USC00043256,"FRESNO 5 NE, CA US",2015-09,2372,464,1,0,,,0,0,0,30,25,57,,,0.05,106,0,0,0.05,,80.5,96.9,64.0
USC00043256,"FRESNO 5 NE, CA US",2015-10,2579,207,6,5,,,0,0,0,26,10,52,,,0.50,101,2,2,1.47,,72.9,88.5,57.3
USC00043256,"FRESNO 5 NE, CA US",2015-11,2583,4,5,4,,,0,1,0,10,0,32,,,1.50,87,324,321,2.44,,54.1,66.7,41.4
USC00043256,"FRESNO 5 NE, CA US",2015-12,2583,0,9,6,,,0,9,0,0,0,28,,,1.67,69,894,570,3.09,,46.6,57.0,36.2
USC00043256,"FRESNO 5 NE, CA US",2016-01,0,0,14,9,,,0,3,0,0,0,30,,,2.50,65,1352,459,5.74,,49.7,59.2,40.2
USC00043256,"FRESNO 5 NE, CA US",2016-02,0,0,3,2,,,0,1,0,13,0,32,,,1.05,79,1619,266,1.33,,55.5,68.3,42.7
USC00043256,"FRESNO 5 NE, CA US",2016-03,6,6,4,3,,,0,2,0,20,0,30,,,2.00,81,1779,160,2.59,,59.7,72.0,47.5
USC00043256,"FRESNO 5 NE, CA US",2016-05,,162,3,3,,,0,0,0,27,9,50,,,0.20,97,,14,0.55,,70.4,83.9,57.0
USC00043256,"FRESNO 5 NE, CA US",2016-07,,590,0,0,,,0,0,0,28,28,61,,,0.00,111,0,0,0.00,,86.1,103.1,69.0
USC00043256,"FRESNO 5 NE, CA US",2016-08,,530,0,0,,,0,0,0,27,27,61,,,0.00,109,0,0,0.00,,84.6,101.8,67.4
USC00043256,"FRESNO 5 NE, CA US",2016-10,,145,6,3,,,0,0,0,26,19,47,,,1.23,95,,9,1.99,,70.2,89.4,51.1
USC00043256,"FRESNO 5 NE, CA US",2016-11,,12,4,2,,,0,0,0,16,0,36,,,0.66,85,,210,1.20,,58.4,71.6,45.2
USC00043256,"FRESNO 5 NE, CA US",2016-12,,0,7,4,,,0,10,0,0,0,29,,,1.67,68,,454,2.78,,47.5,58.6,36.5
USC00043256,"FRESNO 5 NE, CA US",2017-01,0,0,12,9,,,0,6,0,1,0,32,,,1.85,70,,485,5.26,,47.0,56.0,38.1
USC00043256,"FRESNO 5 NE, CA US",2017-02,0,0,10,8,,,0,0,0,2,0,33,,,0.62,74,,255,2.94,,54.4,63.7,45.0
USC00043256,"FRESNO 5 NE, CA US",2017-03,7,7,2,1,,,0,0,0,16,0,36,,,0.51,88,,158,0.60,,59.4,73.2,45.6
USC00043256,"FRESNO 5 NE, CA US",2017-04,13,6,7,5,,,0,0,0,26,0,39,,,1.60,83,,77,4.04,,62.5,76.8,48.1
USC00043256,"FRESNO 5 NE, CA US",2017-05,222,210,1,1,,,0,0,0,27,13,48,,,0.10,103,,30,0.10,,71.2,86.0,56.4
USC00043256,"FRESNO 5 NE, CA US",2017-07,,686,0,0,,,0,0,0,30,30,66,,,0.00,109,0,0,0.00,,87.9,103.8,72.0
USC00043256,"FRESNO 5 NE, CA US",2017-08,,607,0,0,,,0,0,0,28,28,62,,,0.00,111,0,0,0.00,,86.7,102.0,71.4
USC00043256,"FRESNO 5 NE, CA US",2017-09,,384,2,1,,,0,0,0,28,21,52,,,0.10,112,2,2,0.15,,79.0,93.5,64.5
USC00043256,"FRESNO 5 NE, CA US",2017-10,,112,1,0,,,0,0,0,31,6,46,,,0.09,93,18,15,0.09,,68.1,84.4,51.8
USC00043256,"FRESNO 5 NE, CA US",2017-11,,0,2,1,,,0,0,0,12,0,39,,,1.10,79,205,187,1.16,,57.8,69.6,45.9
USC00043256,"FRESNO 5 NE, CA US",2017-12,,0,0,0,,,0,6,0,1,0,29,,,0.00,70,701,497,0.00,,48.5,62.5,34.4
USC00043256,"FRESNO 5 NE, CA US",2018-01,0,0,7,6,,,0,0,0,5,0,33,,,2.50,73,1052,350,3.82,,52.9,63.4,42.5
USC00043256,"FRESNO 5 NE, CA US",2018-02,0,0,2,1,,,0,1,0,13,0,31,,,0.25,80,1290,238,0.27,,54.4,67.9,40.8
USC00043256,"FRESNO 5 NE, CA US",2018-03,5,5,13,8,,,0,0,0,12,0,36,,,1.10,84,1583,294,4.23,,55.4,67.2,43.5
USC00043256,"FRESNO 5 NE, CA US",2018-04,83,78,3,2,,,0,0,0,26,4,40,,,0.27,93,1646,62,0.53,,65.6,80.2,50.9
USC00043256,"FRESNO 5 NE, CA US",2018-05,269,185,1,0,,,0,0,0,29,6,50,,,0.01,102,1654,8,0.01,,71.1,86.0,56.2
USC00043256,"FRESNO 5 NE, CA US",2018-07,,653,0,0,,,0,0,0,28,28,64,,,0.00,109,0,0,0.00,,88.3,104.1,72.5
USC00043256,"FRESNO 5 NE, CA US",2018-08,,567,0,0,,,0,0,0,29,29,60,,,0.00,108,0,0,0.00,,84.5,101.9,67.2
USC00043256,"FRESNO 5 NE, CA US",2018-09,,411,0,0,,,0,0,0,29,26,56,,,0.00,103,0,0,0.00,,79.2,96.1,62.3
USC00043256,"FRESNO 5 NE, CA US",2018-10,,152,1,1,,,0,0,0,31,3,49,,,0.10,98,3,3,0.10,,69.8,85.2,54.4
USC00043256,"FRESNO 5 NE, CA US",2018-11,,4,5,4,,,0,0,0,19,0,38,,,0.55,83,202,199,1.65,,58.3,71.3,45.2
USC00043256,"FRESNO 5 NE, CA US",2018-12,,0,6,3,,,0,1,0,0,0,31,,,0.28,68,651,449,0.59,,50.0,59.5,40.5
USC00043256,"FRESNO 5 NE, CA US",2019-01,0,0,12,8,,,0,10,0,0,0,31,,,1.05,69,1070,419,2.85,,51.0,63.7,38.3
USC00043256,"FRESNO 5 NE, CA US",2019-02,0,0,13,10,,,0,5,0,0,0,31,,,1.25,69,1463,393,4.07,,50.4,61.8,39.1
USC00043256,"FRESNO 5 NE, CA US",2019-03,1,1,8,3,,,0,0,0,11,0,39,,,1.00,83,1660,197,1.65,,57.5,69.8,45.1
USC00043256,"FRESNO 5 NE, CA US",2019-04,122,121,3,1,,,0,0,0,25,9,47,,,1.00,99,1686,27,1.04,,68.8,84.2,53.3
USC00043256,"FRESNO 5 NE, CA US",2019-06,,412,0,0,,,0,0,0,26,24,48,,,0.00,107,,0,0.00,,81.5,98.5,64.5
USC00043256,"FRESNO 5 NE, CA US",2019-07,,,0,0,,,,,,,,,,,0.00,,,,0.00,,,,
USC00043256,"FRESNO 5 NE, CA US",2019-08,,580,0,0,,,0,0,0,29,29,63,,,0.00,109,,0,0.00,,85.0,101.0,69.0
USC00043256,"FRESNO 5 NE, CA US",2019-09,,400,0,0,,,0,0,0,29,19,49,,,0.00,106,,3,0.00,,78.7,95.2,62.2
USC00043256,"FRESNO 5 NE, CA US",2019-10,,77,0,0,,,0,0,0,29,6,40,,,0.00,94,,45,0.00,,66.1,82.9,49.2